Version,OCP Version,Cluster,Duration,Iteration,Component,CPU,Steady Workloads - Avg
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-multus"", pod=""multus-""}",0.0156788,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-oauth-apiserver"", pod=""apiserver-""}",0.0346774,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-image-registry"", pod=""node-ca-""}",0.0003133,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-kube-apiserver"", pod=""kube-apiserver-worker-2.cluster1.savanna.lab.eng.rdu2.redhat.com""}",0.5587251,
4.9,4.9.6,worker-2,8h,2,"{namespace=""open-cluster-management-agent-addon"", pod=""klusterlet-addon-workmgr-""}",0.0019958,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-performance-addon-operator"", pod=""performance-operator-""}",0.001859,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-dns-operator"", pod=""dns-operator-""}",0.0009006,
4.9,4.9.6,worker-2,8h,2,"{namespace=""open-cluster-management-agent-addon"", pod=""klusterlet-addon-operator-""}",0.0522613,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-kube-controller-manager-operator"", pod=""kube-controller-manager-operator-""}",0.0237457,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-machine-api"", pod=""cluster-autoscaler-operator-""}",0.0012948,
4.9,4.9.6,worker-2,8h,2,"{namespace=""open-cluster-management-agent"", pod=""klusterlet-work-agent-""}",0.009524,
4.9,4.9.6,worker-2,8h,2,"{namespace=""open-cluster-management-agent-addon"", pod=""klusterlet-addon-appmgr-""}",0.0032885,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-controller-manager"", pod=""controller-manager-""}",0.0080448,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-dns"", pod=""dns-default-""}",0.002943,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-etcd"", pod=""etcd-worker-2.cluster1.savanna.lab.eng.rdu2.redhat.com""}",0.1792337,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-etcd-operator"", pod=""etcd-operator-""}",0.0300992,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-ingress"", pod=""router-default-""}",0.0017549,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-machine-api"", pod=""cluster-baremetal-operator-""}",0.000341,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-authentication"", pod=""oauth-openshift-""}",0.005822,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-cluster-version"", pod=""cluster-version-operator-""}",0.0091373,
