Version,OCP Version,Cluster,Duration,Iteration,Scenario,Type,CPU,Max CPU
4.10,4.10.23,worker-2,8h,6,workloadlaunch,infra pods,,
4.10,4.10.23,worker-2,8h,6,mustgather,os daemon,,
4.10,4.10.23,worker-2,8h,6,mustgather,infra pods,,
4.10,4.10.23,worker-2,8h,6,promquery,os daemon,,
4.10,4.10.23,worker-2,8h,6,promquery,infra pods,,
4.10,4.10.23,worker-2,8h,6,steadyworkload,os daemon,,
4.10,4.10.23,worker-2,8h,6,steadyworkload,infra pods,,
4.11,4.11.0-rc.5,worker-1,8h,1,idle,os daemon,0.3273333,2.524684
4.11,4.11.0-rc.5,worker-1,8h,1,idle,infra pods,2.2300173,
4.11,4.11.0-rc.5,worker-1,8h,1,workloadlaunch,os daemon,0.5839221,2.9417392
4.11,4.11.0-rc.5,worker-1,8h,1,workloadlaunch,infra pods,2.4976482,
4.11,4.11.0-rc.5,worker-1,8h,1,mustgather,os daemon,1.4193333,3.9057144
4.11,4.11.0-rc.5,worker-1,8h,1,mustgather,infra pods,2.7176135,
4.11,4.11.0-rc.5,worker-1,8h,1,promquery,os daemon,0.48,2.8723811
4.11,4.11.0-rc.5,worker-1,8h,1,promquery,infra pods,2.4863811,
4.11,4.11.0-rc.5,worker-1,8h,1,steadyworkload,os daemon,0.5126667,2.7669982
4.11,4.11.0-rc.5,worker-1,8h,1,steadyworkload,infra pods,2.3243315,
4.11,4.11.6,worker-1,8h,1,idle,os daemon,0.2073333,2.1065667
4.11,4.11.6,worker-1,8h,1,idle,infra pods,1.9165667,
4.11,4.11.6,worker-1,8h,1,workloadlaunch,os daemon,0.684,2.5545986
4.11,4.11.6,worker-1,8h,1,workloadlaunch,infra pods,1.9928325,
4.11,4.11.6,worker-1,8h,1,mustgather,os daemon,0.4233333,2.7743739
4.11,4.11.6,worker-1,8h,1,mustgather,infra pods,2.5003739,
4.11,4.11.6,worker-1,8h,1,promquery,os daemon,0.3333333,2.6004342
4.11,4.11.6,worker-1,8h,1,promquery,infra pods,2.3251009,
4.11,4.11.6,worker-1,8h,1,steadyworkload,os daemon,0.3053333,2.2416265
4.11,4.11.6,worker-1,8h,1,steadyworkload,infra pods,1.9889599,
4.11,4.11.6,worker-1,8h,2,idle,os daemon,0.2706667,2.1012317
4.11,4.11.6,worker-1,8h,2,idle,infra pods,1.8432317,
4.11,4.11.6,worker-1,8h,2,workloadlaunch,os daemon,0.6840174,2.3984998
